BP,Temperature,CO2,Milankovich
-10000,-0.97,264.9,540.45
-9900,-1.57,265.7,540.48
-9800,-0.07,263.4,540.29
-9700,-0.08,264,540.09
-9600,0.04,264.2,539.9
-9500,0.48,264.4,539.7
-9400,-0.45,264.027,539.51
-9300,-0.51,263.8,539.32
-9200,-1.9,263,539.12
-9100,-0.59,260.6,538.93
-9000,0.05,265.2,538.74
-8900,-0.93,263.8,538.54
-8800,-0.84,263.7,538.15
-8700,-1.13,262,537.77
-8600,0.38,259.3,537.38
-8500,-0.74,260.4,536.99
-8400,-1.24,260.9,536.6
-8300,-1.71,259,536.22
-8200,-2.04,261.8,535.83
-8100,-0.87,261.12,535.44
-8000,-1.06,261.3,535.05
-7900,-1.47,258.3,534.67
-7800,-1.14,259.3,534.11
-7700,-1.71,259.6,533.55
-7600,-0.93,260.8,533
-7500,-0.24,259.2,532.44
-7400,-2.1,259.7,531.88
-7300,-1.56,260.4,531.33
-7200,-1.91,260.1,530.77
-7100,-0.94,258.4,530.21
-7000,-0.8,260.7,529.65
-6900,-0.59,263,529.1
-6800,-0.28,262.3,528.47
-6700,-0.22,257.6,527.84
-6600,0.81,258.1,527.21
-6500,0.79,262.9,526.58
-6400,-1.55,259.4,525.95
-6300,-0.68,261.1,525.32
-6200,0.8,261.148,524.69
-6100,-0.4,261.2,524.06
-6000,-0.71,263.2,523.43
-5900,0.29,265.5,522.8
-5800,-0.77,265.975,522.1
-5700,-0.75,260.7,521.4
-5600,-0.82,265.5,520.7
-5500,-1.08,265.9,519.99
-5400,0.68,267.6,519.29
-5300,-0.17,265.2,518.59
-5200,0.25,265.3,517.89
-5100,-0.29,267.6,517.18
-5000,0.37,269.8,516.48
-4900,-0.32,268.6,515.78
-4800,-0.76,269.3,515.08
-4700,-0.56,270.7,514.38
-4600,-0.4,271.5,513.67
-4500,0.35,269.8,512.97
-4400,0,269.1,512.27
-4300,0.67,271.1,511.57
-4200,-0.59,271.5,510.86
-4100,0.78,272.8,510.16
-4000,-0.19,271.6,509.46
-3900,-0.7,271.7,508.76
-3800,1.26,274.9,508.1
-3700,0.77,275.4,507.45
-3600,0.15,271.5,506.8
-3500,-0.18,273.4,506.14
-3400,-0.71,274.125,505.49
-3300,-1.76,275,504.83
-3200,-1.46,274,504.18
-3100,0.1,276.3,503.53
-3000,0.29,275.703,502.87
-2900,1.12,274.6,502.22
-2800,1.29,276.3,501.64
-2700,0.09,274.7,501.06
-2600,0.92,275.3,500.48
-2500,0,278.9,499.89
-2400,-0.63,273.9,499.31
-2300,0.86,277.9,498.73
-2200,-0.34,277.6,498.15
-2100,-0.92,276.7,497.57
-2000,-0.38,276.791,496.99
-1900,-0.99,276.9,496.41
-1800,-0.11,278,495.97
-1700,0.73,278.7,495.54
-1600,0.9,280,495.1
-1500,-0.45,279.2,494.66
-1400,-0.17,278.274,494.23
-1300,0.37,277.956,493.79
-1200,-0.9,277.7,493.36
-1100,0.99,279.1,492.92
-1000,-0.55,277.736,492.48
-900,1.5,278.4,492.05
-800,-0.91,280.1,491.76
-700,0.27,282.2,491.47
-600,1.26,281.1,491.18
-500,0.16,277.7,490.89
-400,0.03,279.1,490.6
-300,0.71,277.9,490.31
-200,0.38,277.755,490.01
