"","Country","Year","Population","Coal_consum","Electricity_generation","CO2_emmision","avgtemp","hover"
"1","Algeria",1995,28800000,620000,1.97e+10,95100,63.5150684931507,"Population: 28800000 Total coal consumption: 620000 <br> Total Electricity generation: 1.97e+10 <br> CO2_emmision: 95100"
"2","Algeria",1996,29300000,292000,2.07e+10,96900,62.6420765027322,"Population: 29300000 Total coal consumption: 292000 <br> Total Electricity generation: 2.07e+10 <br> CO2_emmision: 96900"
"3","Algeria",1997,29700000,512000,2.15e+10,87100,64.926301369863,"Population: 29700000 Total coal consumption: 512000 <br> Total Electricity generation: 2.15e+10 <br> CO2_emmision: 87100"
"4","Algeria",1998,30200000,548000,2.33e+10,107000,61.8375342465753,"Population: 30200000 Total coal consumption: 548000 <br> Total Electricity generation: 2.33e+10 <br> CO2_emmision: 107000"
"5","Algeria",1999,30600000,587000,2.48e+10,91700,64.4745205479452,"Population: 30600000 Total coal consumption: 587000 <br> Total Electricity generation: 2.48e+10 <br> CO2_emmision: 91700"
"6","Algeria",2000,3.1e+07,485000,2.54e+10,87500,64.1827868852459,"Population: 3.1e+07 Total coal consumption: 485000 <br> Total Electricity generation: 2.54e+10 <br> CO2_emmision: 87500"
"7","Algeria",2001,31500000,560000,2.66e+10,83800,64.6698630136986,"Population: 31500000 Total coal consumption: 560000 <br> Total Electricity generation: 2.66e+10 <br> CO2_emmision: 83800"
"8","Algeria",2002,31900000,735000,2.76e+10,89500,62.3476712328767,"Population: 31900000 Total coal consumption: 735000 <br> Total Electricity generation: 2.76e+10 <br> CO2_emmision: 89500"
"9","Algeria",2003,32300000,606000,2.95e+10,91100,65.0427397260274,"Population: 32300000 Total coal consumption: 606000 <br> Total Electricity generation: 2.95e+10 <br> CO2_emmision: 91100"
"10","Algeria",2004,32700000,723000,3.12e+10,87900,64.0874316939891,"Population: 32700000 Total coal consumption: 723000 <br> Total Electricity generation: 3.12e+10 <br> CO2_emmision: 87900"
"11","Algeria",2005,33100000,594000,3.39e+10,107000,62.9134246575342,"Population: 33100000 Total coal consumption: 594000 <br> Total Electricity generation: 3.39e+10 <br> CO2_emmision: 107000"
"12","Algeria",2006,33600000,882000,3.52e+10,1e+05,64.9304109589041,"Population: 33600000 Total coal consumption: 882000 <br> Total Electricity generation: 3.52e+10 <br> CO2_emmision: 1e+05"
"13","Algeria",2007,34200000,757000,3.73e+10,108000,63.1668493150685,"Population: 34200000 Total coal consumption: 757000 <br> Total Electricity generation: 3.73e+10 <br> CO2_emmision: 108000"
"14","Algeria",2008,34700000,757000,4.02e+10,109000,63.5322404371585,"Population: 34700000 Total coal consumption: 757000 <br> Total Electricity generation: 4.02e+10 <br> CO2_emmision: 109000"
"15","Algeria",2009,35300000,486000,4.31e+10,120000,64.2597260273973,"Population: 35300000 Total coal consumption: 486000 <br> Total Electricity generation: 4.31e+10 <br> CO2_emmision: 120000"
