Year,Temperature,WorldPopulation,CO2e,OzoneDepletion,Energy
1961,0.06,3091843507,NA,545000,NA
1962,0.03,3150420795,NA,565000,NA
1963,0.05,3211001009,NA,605000,NA
1964,-0.2,3273978338,NA,645000,NA
1965,-0.11,3339583597,NA,675000,40589
1966,-0.06,3407922630,NA,705000,50681
1967,-0.02,3478769962,NA,745000,52945
1968,-0.08,3551599127,NA,795000,54668
1969,0.05,3625680627,NA,825000,57484
1970,0.03,3700437046,NA,885000,60803
1971,-0.08,3775759617,NA,935000,64105
1972,0.01,3851650245,NA,1005000,66327
1973,0.16,3927780238,NA,1075000,69413
1974,-0.07,4003794172,NA,1145000,72939
1975,-0.01,4079480606,NA,1205000,73005
1976,-0.1,4154666864,NA,1215000,73205
1977,0.18,4229506060,NA,1235000,76762
1978,0.07,4304533501,NA,1235000,79119
1979,0.16,4380506100,NA,1275000,81347
1980,0.26,4458003514,NA,1245000,83842
1981,0.32,4536996762,NA,1205000,83167
1982,0.14,4617386542,NA,1265000,82609
1983,0.31,4699569304,NA,1255000,82038
1984,0.16,4784011621,NA,1315000,83018
1985,0.12,4870921740,NA,1345000,86344
1986,0.18,4960567912,NA,1445000,88124
1987,0.32,5052522147,NA,1525000,89819
1988,0.39,5145426008,NA,1625000,92616
1989,0.27,5237441558,NA,1575000,95720
1990,0.45,5327231061,70386660000,1485000,97517
1991,0.41,5414289444,70593320000,1355000,98551
1992,0.22,5498919809,70369750000,1245000,99086
1993,0.23,5581597546,70444310000,1125000,99892
1994,0.32,5663150427,70874530000,985000,100322
1995,0.45,5744212979,72433290000,925000,101592
1996,0.33,5824891951,72659490000,865000,103370
1997,0.46,5905045788,75079600000,805000,106244
1998,0.61,5984793942,74305970000,765000,107301
1999,0.38,6064239055,73833310000,755000,107962
2000,0.39,6143493823,75131890000,725000,109833
2001,0.54,6222626606,77043650000,695000,112381
2002,0.63,6301773188,79845950000,655000,113558
2003,0.62,6381185114,81574650000,645000,115844
2004,0.54,6461159389,84931890000,635000,119927
2005,0.68,6541907027,86616270000,615000,124931
2006,0.64,6623517833,87234180000,595000,128829
2007,0.67,6705946610,88841370000,575000,132161
2008,0.55,6789088686,89484570000,565000,136141
2009,0.66,6872767093,89213180000,555000,137309
2010,0.72,6956823603,92398340000,545000,135185
2011,0.61,7041194301,94675830000,535000,141057
2012,0.65,7125828059,95668870000,515000,144327
2013,0.68,7210581976,96720950000,505000,145975
2014,0.75,7295290765,97476220000,485000,148182
2015,0.9,7379797139,98269890000,NA,148955
2016,1.02,7464022049,97216570000,NA,149653
2017,0.93,7547858925,NA,NA,151254
2018,0.85,7631091040,NA,NA,153513
2019,0.98,7713468100,NA,NA,157366
2020,1.02,7794798739,NA,NA,NA
