"","X1","decimal","year","month","co2","ch4","sf6","n2o"
"1",1,1980.125,1980,2,339.27,NA,NA,NA
"2",2,1980.208,1980,3,339.6,NA,NA,NA
"3",3,1980.292,1980,4,340,NA,NA,NA
"4",4,1980.375,1980,5,340.43,NA,NA,NA
"5",5,1980.458,1980,6,339.99,NA,NA,NA
"6",6,1980.542,1980,7,338.45,NA,NA,NA
"7",7,1980.625,1980,8,337.22,NA,NA,NA
"8",8,1980.708,1980,9,337.05,NA,NA,NA
"9",9,1980.792,1980,10,337.83,NA,NA,NA
"10",10,1980.875,1980,11,338.93,NA,NA,NA
"11",11,1980.958,1980,12,339.64,NA,NA,NA
"12",12,1981.042,1981,1,340.19,NA,NA,NA
"13",13,1981.125,1981,2,340.75,NA,NA,NA
"14",14,1981.208,1981,3,341.39,NA,NA,NA
"15",15,1981.292,1981,4,341.68,NA,NA,NA
"16",16,1981.375,1981,5,341.42,NA,NA,NA
"17",17,1981.458,1981,6,340.62,NA,NA,NA
"18",18,1981.542,1981,7,339.23,NA,NA,NA
"19",19,1981.625,1981,8,338.08,NA,NA,NA
"20",20,1981.708,1981,9,337.97,NA,NA,NA
"21",21,1981.792,1981,10,339.07,NA,NA,NA
"22",22,1981.875,1981,11,340.17,NA,NA,NA
"23",23,1981.958,1981,12,340.75,NA,NA,NA
"24",24,1982.042,1982,1,341.37,NA,NA,NA
"25",25,1982.125,1982,2,341.95,NA,NA,NA
"26",26,1982.208,1982,3,342.23,NA,NA,NA
"27",27,1982.292,1982,4,342.52,NA,NA,NA
"28",28,1982.375,1982,5,342.36,NA,NA,NA
"29",29,1982.458,1982,6,341.49,NA,NA,NA
"30",30,1982.542,1982,7,339.75,NA,NA,NA
"31",31,1982.625,1982,8,338.11,NA,NA,NA
"32",32,1982.708,1982,9,338.16,NA,NA,NA
"33",33,1982.792,1982,10,339.62,NA,NA,NA
"34",34,1982.875,1982,11,340.95,NA,NA,NA
"35",35,1982.958,1982,12,341.77,NA,NA,NA
"36",36,1983.042,1983,1,342.36,NA,NA,NA
"37",37,1983.125,1983,2,342.74,NA,NA,NA
"38",38,1983.208,1983,3,343.03,NA,NA,NA
"39",39,1983.292,1983,4,343.51,NA,NA,NA
"40",40,1983.375,1983,5,343.83,NA,NA,NA
"41",41,1983.458,1983,6,343.5,NA,NA,NA
"42",42,1983.542,1983,7,342.14,1625.9,NA,NA
"43",43,1983.625,1983,8,340.63,1628,NA,NA
"44",44,1983.708,1983,9,340.54,1638.4,NA,NA
"45",45,1983.792,1983,10,341.75,1644.8,NA,NA
"46",46,1983.875,1983,11,342.82,1642.5,NA,NA
"47",47,1983.958,1983,12,343.48,1639.5,NA,NA
