variable,value,year
Coal (TWh; direct energy),97,1800
Coal (TWh; direct energy),128,1810
Coal (TWh; direct energy),153,1820
Coal (TWh; direct energy),264,1830
Coal (TWh; direct energy),356,1840
Coal (TWh; direct energy),569,1850
Coal (TWh; direct energy),1061,1860
Coal (TWh; direct energy),1642,1870
Coal (TWh; direct energy),2542,1880
Coal (TWh; direct energy),3856,1890
Coal (TWh; direct energy),5728,1900
Coal (TWh; direct energy),8656,1910
Coal (TWh; direct energy),9833,1920
Coal (TWh; direct energy),10125,1930
Coal (TWh; direct energy),11586,1940
Coal (TWh; direct energy),12603,1950
Coal (TWh; direct energy),15442,1960
Coal (TWh; direct energy),16140,1965
Coal (TWh; direct energy),16324,1966
Coal (TWh; direct energy),16061,1967
Coal (TWh; direct energy),16301,1968
Coal (TWh; direct energy),16799,1969
Coal (TWh; direct energy),17059,1970
Coal (TWh; direct energy),16966,1971
Coal (TWh; direct energy),17154,1972
Coal (TWh; direct energy),17668,1973
Coal (TWh; direct energy),17682,1974
Coal (TWh; direct energy),18025,1975
Coal (TWh; direct energy),18688,1976
Coal (TWh; direct energy),19241,1977
Coal (TWh; direct energy),19458,1978
Coal (TWh; direct energy),20364,1979
Coal (TWh; direct energy),20858,1980
Coal (TWh; direct energy),21150,1981
Coal (TWh; direct energy),21384,1982
Coal (TWh; direct energy),22045,1983
Coal (TWh; direct energy),23000,1984
Coal (TWh; direct energy),23986,1985
Coal (TWh; direct energy),24256,1986
Coal (TWh; direct energy),25210,1987
Coal (TWh; direct energy),25965,1988
Coal (TWh; direct energy),26213,1989
Coal (TWh; direct energy),25895,1990
Coal (TWh; direct energy),25643,1991
Coal (TWh; direct energy),25550,1992
Coal (TWh; direct energy),25675,1993
Coal (TWh; direct energy),25774,1994
Coal (TWh; direct energy),25954,1995
Coal (TWh; direct energy),26572,1996
Coal (TWh; direct energy),26527,1997
Coal (TWh; direct energy),26360,1998
Coal (TWh; direct energy),26522,1999
Coal (TWh; direct energy),27417,2000
Coal (TWh; direct energy),27853,2001
Coal (TWh; direct energy),28945,2002
Coal (TWh; direct energy),31497,2003
Coal (TWh; direct energy),33664,2004
Coal (TWh; direct energy),36171,2005
Coal (TWh; direct energy),38071,2006
Coal (TWh; direct energy),40224,2007
Coal (TWh; direct energy),40770,2008
Coal (TWh; direct energy),40149,2009
Coal (TWh; direct energy),41997,2010
Coal (TWh; direct energy),44018,2011
Coal (TWh; direct energy),44185,2012
Coal (TWh; direct energy),44993,2013
Coal (TWh; direct energy),44954,2014
Coal (TWh; direct energy),43844,2015
Coal (TWh; direct energy),43196,2016
Coal (TWh; direct energy),43360,2017
Coal (TWh; direct energy),44109,2018
Coal (TWh; direct energy),43849,2019
Solar (TWh; direct energy),0,1800
Solar (TWh; direct energy),0,1810
Solar (TWh; direct energy),0,1820
Solar (TWh; direct energy),0,1830
Solar (TWh; direct energy),0,1840
Solar (TWh; direct energy),0,1850
Solar (TWh; direct energy),0,1860
Solar (TWh; direct energy),0,1870
Solar (TWh; direct energy),0,1880
Solar (TWh; direct energy),0,1890
