Source,Code,Year,Ozone-depleting substance emissions
Natural emissions,,1961,165000
Natural emissions,,1962,165000
Natural emissions,,1963,165000
Natural emissions,,1964,165000
Natural emissions,,1965,165000
Natural emissions,,1966,165000
Natural emissions,,1967,165000
Natural emissions,,1968,165000
Natural emissions,,1969,165000
Natural emissions,,1970,165000
Natural emissions,,1971,165000
Natural emissions,,1972,165000
Natural emissions,,1973,165000
Natural emissions,,1974,165000
Natural emissions,,1975,165000
Natural emissions,,1976,165000
Natural emissions,,1977,165000
Natural emissions,,1978,165000
Natural emissions,,1979,165000
Natural emissions,,1980,165000
Natural emissions,,1981,165000
Natural emissions,,1982,165000
Natural emissions,,1983,165000
Natural emissions,,1984,165000
Natural emissions,,1985,165000
Natural emissions,,1986,165000
Natural emissions,,1987,165000
Natural emissions,,1988,165000
Natural emissions,,1989,165000
Natural emissions,,1990,165000
Natural emissions,,1991,165000
Natural emissions,,1992,165000
Natural emissions,,1993,165000
Natural emissions,,1994,165000
Natural emissions,,1995,165000
Natural emissions,,1996,165000
Natural emissions,,1997,165000
Natural emissions,,1998,165000
Natural emissions,,1999,165000
Natural emissions,,2000,165000
Natural emissions,,2001,165000
Natural emissions,,2002,165000
Natural emissions,,2003,165000
Natural emissions,,2004,165000
Natural emissions,,2005,165000
Natural emissions,,2006,165000
Natural emissions,,2007,165000
Natural emissions,,2008,165000
Natural emissions,,2009,165000
Natural emissions,,2010,165000
Natural emissions,,2011,165000
Natural emissions,,2012,165000
Natural emissions,,2013,165000
Natural emissions,,2014,165000
Human emissions,,1961,380000
Human emissions,,1962,400000
Human emissions,,1963,440000
Human emissions,,1964,480000
Human emissions,,1965,510000
Human emissions,,1966,540000
Human emissions,,1967,580000
Human emissions,,1968,630000
Human emissions,,1969,660000
Human emissions,,1970,720000
Human emissions,,1971,770000
Human emissions,,1972,840000
Human emissions,,1973,910000
Human emissions,,1974,980000
Human emissions,,1975,1040000
Human emissions,,1976,1050000
Human emissions,,1977,1070000
Human emissions,,1978,1070000
Human emissions,,1979,1110000
Human emissions,,1980,1080000
Human emissions,,1981,1040000
Human emissions,,1982,1100000
Human emissions,,1983,1090000
Human emissions,,1984,1150000
Human emissions,,1985,1180000
Human emissions,,1986,1280000
Human emissions,,1987,1360000
Human emissions,,1988,1460000
Human emissions,,1989,1410000
Human emissions,,1990,1320000
Human emissions,,1991,1190000
Human emissions,,1992,1080000
Human emissions,,1993,960000
Human emissions,,1994,820000
Human emissions,,1995,760000
Human emissions,,1996,700000
Human emissions,,1997,640000
Human emissions,,1998,600000
Human emissions,,1999,590000
Human emissions,,2000,560000
Human emissions,,2001,530000
Human emissions,,2002,490000
Human emissions,,2003,480000
Human emissions,,2004,470000
Human emissions,,2005,450000
Human emissions,,2006,430000
Human emissions,,2007,410000
Human emissions,,2008,400000
Human emissions,,2009,390000
Human emissions,,2010,380000
Human emissions,,2011,370000
Human emissions,,2012,350000
Human emissions,,2013,340000
Human emissions,,2014,320000
