Gas,ODP,GWP100,AtmosphericLifetime,Type
CFC-11,1,5160,52,Chlorine gases
CFC-12,0.73,10300,102,Chlorine gases
CFC-113,0.81,6080,93,Chlorine gases
CCl4,0.72,1730,26,Chlorine gases
HCFCs,0.055,1435,9.5,Chlorine gases
CH3CCl3,0.14,153,5,Chlorine gases
CH3Cl,0.015,11,0.9,Chlorine gases
Halon-1301,15.2,1.7,72,Bromine gases
Halon-1211,6.9,4.8,16,Bromine gases
CH3Br,0.57,85,0.8,Bromine gases
CHBr3,0,670,0.5,Bromine gases
HFC-134a,0,1360,14,Hydrofluorocarbons (HFCs)
HFC-23,0,12500,228,Hydrofluorocarbons (HFCs)
HFC-143a,0,5080,51,Hydrofluorocarbons (HFCs)
HFC-125,0,3450,31,Hydrofluorocarbons (HFCs)
HFC-152a,0,148,1.6,Hydrofluorocarbons (HFCs)
HFC-32,0,700,5.4,Hydrofluorocarbons (HFCs)
