Year,SeaLevel
1948,6788
1949,6770
1950,6768
1951,6718
1952,6724
1953,6725
1954,6692
1955,6733
1956,6720
1957,6800
1958,6780
1959,6770
1961,6837
1962,6777
1963,6759
1964,6772
1965,6840
1966,6834
1967,6863
1968,6816
1969,6887
1970,6920
1971,6922
1973,7012
1974,7005
1975,7052
1978,6981
1979,7035
1980,7007
1981,7006
1982,7042
1983,7102
1984,7097
1985,7100
1986,7093
1987,7067
1988,7042
1989,7056
1990,7126
1991,7166
1992,7137
1993,7137
1994,7147
1995,7165
1996,7129
1997,7149
1998,7194
1999,7175
2000,7138
2001,7147
2002,7204
2003,7203
2004,7195
2005,7209
2006,7161
2007,7215
2010,7249
2011,7232
2012,7301
2013,7306
2014,7268
2015,7313
2016,7379
2017,7337
2018,7335
2019,7399
2020,7407
