country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,1230,1170,1090,1030,810,769,813,1060,1210,909,1320,1640,2270,4200,6770,8460,12200,10800,9040,8460,9030,8660,8980,9450
Albania,2090,2020,1540,1750,2980,3020,3220,3750,4290,4170,4250,3900,3930,4370,4380,4600,5240,4920,4910,5490,4620,4540,4660,4570
Algeria,95100,96900,87100,107000,91700,87500,83800,89500,91100,87900,107000,100000,108000,109000,120000,118000,120000,128000,133000,143000,151000,148000,147000,156000
Andorra,425,455,466,491,513,524,524,532,535,561,576,546,539,539,517,517,491,488,477,462,466,469,483,471
Angola,11000,10400,7350,7280,9140,9520,9680,12600,9000,18700,19000,22100,25000,25500,27600,28900,30400,33800,33300,44300,34000,34100,34100,34600
Antigua and Barbuda,275,293,308,319,330,345,348,370,403,422,429,444,469,480,510,524,513,524,524,528,546,557,562,566
Argentina,128000,135000,138000,139000,147000,142000,133000,124000,135000,157000,162000,175000,174000,188000,179000,187000,190000,192000,192000,195000,200000,200000,200000,196000
Armenia,3440,2590,3270,3400,3050,3490,3540,3080,3460,3690,4380,4410,5100,5580,4370,4260,4970,5750,5540,5560,4840,5180,5010,5580
Australia,306000,313000,321000,335000,344000,350000,358000,363000,370000,384000,387000,393000,401000,405000,409000,407000,405000,407000,398000,394000,403000,413000,417000,421000
Austria,64300,67700,67500,67100,65800,66400,70300,72200,77900,78000,79500,77100,74500,73800,67800,72300,70200,67600,68200,64500,66800,67400,70000,68900
Azerbaijan,33300,31300,29800,31700,28600,29500,28800,29700,30700,32100,34300,39100,30500,35500,31900,30700,33000,35100,35100,36800,37100,37200,36700,36800
Bahamas,1740,1730,1530,1910,1950,1950,1870,1930,1970,1970,1830,1780,1800,2360,1610,2390,1800,1910,2870,2350,2020,1790,1800,1810
Bahrain,14800,15600,17300,18400,18000,18800,14100,15900,16800,17900,19800,19400,26800,29700,28100,29100,28700,27300,31200,31200,32700,31500,31800,31100
Bangladesh,21100,21500,23100,23200,25100,26500,31100,32000,33500,36000,37700,41700,42700,45300,49200,54000,56600,60700,61800,66000,72900,76100,78900,85800
Barbados,807,825,892,1100,1160,1150,1190,1200,1250,1270,1320,1340,1360,1610,1600,1470,1520,1460,1440,1250,1250,1270,1270,1280
Belarus,58000,59300,62600,59500,57000,55500,55600,55700,57200,60800,62100,64900,64300,66500,62000,63900,62900,63800,64500,63800,59300,61000,62800,65500
Belgium,126000,130000,124000,130000,125000,127000,126000,126000,128000,129000,126000,124000,121000,120000,108000,114000,104000,102000,102000,96000,99800,98500,97600,99700
Belize,378,308,389,370,348,396,447,433,433,392,422,444,477,436,587,539,601,477,513,495,579,568,567,575
Benin,1270,1230,1200,1200,1540,1580,1790,2050,2330,2480,2370,3710,4320,4260,4510,4940,4890,4640,4890,5220,5870,6280,6910,7160
Bhutan,236,285,377,367,371,382,369,402,361,291,378,373,372,401,368,465,668,773,854,957,974,1150,1180,1210
Bolivia,9810,9780,10900,10900,10400,11000,8570,10300,11000,11000,12100,14900,12200,13100,13600,14900,16000,18500,18800,20000,19700,21200,21700,22300
Bosnia and Herzegovina,3410,4240,8370,10600,10300,13700,13300,14200,14400,15500,16100,17400,17500,20000,20600,21200,23800,22200,21800,19300,18500,21800,21800,21700
Botswana,3050,2760,2800,3340,3160,3780,3850,3980,3830,3900,4100,4140,4230,4510,3860,4540,4030,5080,5670,6860,5430,6340,6920,6670
Brazil,256000,281000,297000,309000,317000,324000,333000,328000,318000,334000,342000,342000,357000,381000,360000,412000,430000,460000,495000,524000,496000,455000,464000,458000
Brunei,4790,4750,4940,5160,3810,4590,4390,4260,4470,4880,4870,4740,8320,9000,7750,8070,9550,9500,7630,8930,6960,7550,7600,7940
Bulgaria,57600,58000,55600,53200,46300,45200,49000,46200,50500,49500,50600,51900,55700,54000,45700,47800,53200,48300,42600,45100,48100,45300,47400,44500
Burkina Faso,624,705,803,858,915,1030,992,1000,1080,1100,1120,1360,1590,1740,1830,2040,2130,2620,2870,2910,3300,3380,3760,3900
Burundi,238,242,249,249,253,271,205,213,161,198,154,187,187,191,191,308,421,380,399,377,392,484,509,522
